Name,state,Stars,Valoracion
Three Brothers Grill,Pensilvania,5,Muy bueno
Tumerico,Arizona,5,Muy bueno
Taqueria Feliz,Pensilvania,5,Muy bueno
Chipotle Mexican Grill,Illinois,1,Malo
Illegal Pete's - Tucson,Arizona,1,Muy bueno
Taqueria Aguilar Food Truck,Tennessee,4,Muy bueno
Taco Bell,Nevada,4,Muy bueno
OINK and MOO BBQ,Nueva Jersey,5,Muy bueno
Besito Mexican Restaurant,Pensilvania,5,Muy bueno
Tumerico,Arizona,3,Malo
El Cisne Restaurant,Arizona,5,Muy bueno
Taco Bell,Idaho,1,Muy bueno
Rollies Mexican Patio,Arizona,5,Muy bueno
Cuñada,Luisiana,5,Muy bueno
Tempo Nashville,Tennessee,5,Muy bueno
Teresa's Mosaic Cafe,Arizona,3,Muy bueno
El Rey,Pensilvania,4,Muy bueno
Lucha Cartel,Pensilvania,1,Muy bueno
Nemi Restaurant,Pensilvania,5,Muy bueno
Jack in the Box,Tennessee,1,Malo
Viva Burrito,Arizona,1,Muy bueno
Bakersfield,Tennessee,5,Muy bueno
PJ's Pancake House & Tavern - Ewing,Nueva Jersey,2,Muy bueno
Taco Bell,Missouri,1,Malo
Agave House,Luisiana,5,Muy bueno
El Primo Plaza,Pensilvania,5,Muy bueno
"Poco's Mexican-American Restaurant, Bar & Comedy Cabaret",Pensilvania,1,Malo
Guadalajara Original Grill,Arizona,3,Muy bueno
Cinco De Mayo Mexican Restaurant - Whitebridge,Tennessee,5,Muy bueno
Salsa Verde Restaurant,Arizona,5,Muy bueno
La Roca,Pensilvania,5,Muy bueno
Cancun Mexican Restaurant,Indiana,3,Muy bueno
Chipotle Mexican Grill,Florida,5,Muy bueno
El Rey,Pensilvania,1,Muy bueno
Spotted Donkey Cantina,Florida,5,Muy bueno
Santa Fe,Luisiana,5,Muy bueno
Rubio's Coastal Grill,Florida,5,Muy bueno
Los Agaves,California,5,Muy bueno
Oscar’s Taco Shop,Tennessee,1,Muy bueno
Rubio's Coastal Grill,Florida,1,Malo
Tijuana Flats,Florida,5,Muy bueno
Border Cafe,Delaware,4,Muy bueno
Rosepepper Mexican Grill,Tennessee,2,Malo
Tlaolli,Indiana,5,Muy bueno
Taqueria La Flama,Idaho,4,Muy bueno
Centro Cantina,Florida,1,Malo
Aqui Con el Nene,Arizona,5,Muy bueno
Capital Tacos,Florida,3,Malo
Central Taco & Tequila,Nueva Jersey,3,Muy bueno
Señor Tequila Mexican Grill,Florida,1,Malo
Nixta,Missouri,5,Muy bueno
Red Mesa Restaurant,Florida,5,Muy bueno
Senor Fresh Mexican Eatery,Idaho,1,Muy bueno
Crossroads Restaurant,Arizona,1,Muy bueno
Pasteleria Rojas,Delaware,3,Muy bueno
Southwest Diner,Missouri,5,Muy bueno
Amigos Tortilla Bar,Florida,4,Muy bueno
Cerveza Jack's,Tennessee,5,Muy bueno
Tired Hands Fermentaria,Pensilvania,3,Muy bueno
Besito Mexican Restaurant,Pensilvania,5,Muy bueno
Jack in the Box,Missouri,1,Regular
Sun King Brewery,Indiana,4,Muy bueno
Taqueria Durango,Missouri,5,Muy bueno
Rosalita's Cantina,Missouri,1,Malo
Don Pablo's,Nueva Jersey,2,Malo
Los Agaves,California,5,Muy bueno
The Blind Pelican,Luisiana,1,Malo
Amigos Tortilla Bar,Florida,1,Muy bueno
Don Nato's Mexican Food,Arizona,5,Muy bueno
Nemi Restaurant,Pensilvania,5,Muy bueno
Lucha Cartel,Pensilvania,5,Muy bueno
Casa Blanca Restaurant,California,3,Malo
Johnny Sanchez,Luisiana,1,Muy bueno
Jack in the Box,Nevada,1,Malo
Chili's,Florida,1,Muy bueno
El Zarape,California,5,Muy bueno
Lolis Mexican Cravings,Florida,5,Muy bueno
Street Taco And Beer,Arizona,5,Muy bueno
Charro Steak & Del Rey,Arizona,5,Muy bueno
Grumpy Gringo,Florida,2,Muy bueno
GUAC Tequila & Tacos,Florida,5,Muy bueno
Delicia,Indiana,5,Muy bueno
Capital Tacos,Florida,2,Muy bueno
La Super-Rica Taqueria,California,5,Malo
Casa Blanca Restaurant,California,2,Muy bueno
Cuban Mexican Restaurant,Florida,5,Muy bueno
The Bait House Tackle & Tavern,Florida,5,Muy bueno
Felipe's Mexican Taqueria - French Quarter,Luisiana,1,Malo
Bouchon,California,5,Muy bueno
San Marcos Mexican Restaurant,Luisiana,3,Malo
El Paisano Restaurant,Nevada,5,Muy bueno
El Limon,Pensilvania,5,Muy bueno
Verde Flavors Of Mexico,Indiana,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,3,Muy bueno
Los Agaves,California,5,Muy bueno
Baja Cafe on Campbell,Arizona,5,Muy bueno
PJ's Pancake House & Tavern - Ewing,Nueva Jersey,4,Muy bueno
Dos Reyes Mexican Restaurant,Missouri,5,Muy bueno
Grand Hacienda,Florida,3,Muy bueno
The Lake Bar & Grill,Nevada,5,Muy bueno
Bartaco,Florida,5,Muy bueno
El Meson,Indiana,4,Muy bueno
The VIP Mexican Restaurant & Lounge,Florida,5,Muy bueno
King George II Inn,Pensilvania,3,Muy bueno
Condado Tacos,Indiana,4,Muy bueno
Pancho & Willie's Cantina,Nevada,5,Muy bueno
El Charro Cafe,Arizona,5,Muy bueno
Taco Dirty,Florida,5,Muy bueno
Mi Tenampa,Indiana,5,Muy bueno
Solario Cantina,Tennessee,2,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Casino Del Sol,Arizona,5,Muy bueno
Red Mesa Restaurant,Florida,5,Muy bueno
Lucha Cartel,Pensilvania,5,Muy bueno
El Limon - Paoli,Pensilvania,5,Muy bueno
Mekenita Cantina,Florida,5,Muy bueno
Bajo Sexto Taco,Tennessee,4,Muy bueno
Casa Valencia,Arizona,4,Muy bueno
Chipotle Mexican Grill,Tennessee,2,Muy bueno
El Sur Restaurant,Arizona,4,Muy bueno
Carlillos Cocina,Nevada,1,Malo
South Philly Barbacoa,Pensilvania,5,Muy bueno
Roost,California,5,Muy bueno
Nemi Restaurant,Pensilvania,5,Muy bueno
Beto's Mexican Food,Nevada,5,Muy bueno
Tijuana Flats,Florida,3,Muy bueno
Rose Cafe No 2,California,2,Muy bueno
Beto's Mexican Food,Nevada,1,Malo
Rosepepper Mexican Grill,Tennessee,3,Muy bueno
Macho Tequila's,Nevada,5,Muy bueno
Los Arroyos Mexican Restaurant & Take Out,California,5,Muy bueno
Central Taco & Tequila,Nueva Jersey,2,Muy bueno
Andrade's Restaurante Mexicano,Idaho,5,Muy bueno
Taqueria Emanuel,Florida,1,Muy bueno
Salsa Verde Restaurant,Arizona,5,Muy bueno
Tin Roof Tacos,Idaho,5,Muy bueno
Tacos Y Mariscos El Amigo,Tennessee,4,Muy bueno
Bull Market Tampa,Florida,4,Muy bueno
Mekenita Cantina,Florida,5,Muy bueno
Besito Mexican Restaurant,Florida,3,Muy bueno
La Parrilla Suiza,Arizona,1,Malo
Revolution Taco,Pensilvania,3,Muy bueno
Tijuana Flats,Florida,4,Muy bueno
El Chapo Taco,Florida,4,Muy bueno
Moe's Southwest Grill,Florida,3,Muy bueno
Rose Cafe,California,5,Muy bueno
Tortilla Press Cantina,Nueva Jersey,4,Muy bueno
Red Sombrero - Kennett Square,Pensilvania,5,Muy bueno
Chili's,Florida,5,Muy bueno
Plazita Mexico Cafe,Arizona,5,Muy bueno
Acapulco Joe's,Indiana,2,Muy bueno
Yard House,Indiana,2,Malo
Cantina Los Tres Hombres,Nevada,1,Muy bueno
El Zarape,California,2,Malo
Red Sombrero - Kennett Square,Pensilvania,3,Muy bueno
Garden Grille Cafe,Florida,5,Muy bueno
Chili's,Florida,1,Malo
Santo Mezcal,California,1,Muy bueno
Condado Tacos,Indiana,4,Muy bueno
Nada,Indiana,4,Muy bueno
Nada,Indiana,5,Muy bueno
Urban Cantina,Florida,4,Malo
Tacos Mi Rancho,Florida,5,Muy bueno
Oishii Poké,Pensilvania,5,Muy bueno
Nada,Indiana,5,Muy bueno
Murrieta's,Nevada,5,Muy bueno
Chuy's,Tennessee,2,Malo
Luciana's Mexican Restaurant,Indiana,4,Muy bueno
Tanias 33 Mexican Food,Arizona,1,Malo
El Toro Mexican Cuisine,Indiana,5,Muy bueno
Santo Mezcal,California,1,Malo
Bartaco,Florida,5,Muy bueno
Tortilla Press Cantina,Nueva Jersey,5,Muy bueno
El Zarape,California,1,Malo
Little Tommies Tiki,Florida,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,5,Muy bueno
Bakersfield,Tennessee,5,Muy bueno
Little Mexico Steakhouse,Arizona,3,Muy bueno
El Original Tacos Tijuana,Nevada,5,Muy bueno
Chipotle Mexican Grill,Luisiana,4,Muy bueno
Lolita,Pensilvania,4,Muy bueno
Seis Kitchen,Arizona,5,Muy bueno
Favela Chic,Luisiana,5,Muy bueno
Lolita,Pensilvania,5,Muy bueno
Mazatlan Mexican Restaurant,Tennessee,5,Muy bueno
Casa Molina,Arizona,1,Malo
BK Tacos,Arizona,5,Muy bueno
El Limon - Malvern,Pensilvania,5,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,3,Muy bueno
El Rodeo No 9,Indiana,1,Malo
Taco Bell,Nevada,1,Malo
Monserrate Restaurant Bar & Grill,Florida,2,Malo
Badfins Food + Brew,Florida,5,Muy bueno
Seis Kitchen,Arizona,5,Muy bueno
D'Mexican,Florida,5,Muy bueno
Chuy's,Tennessee,2,Malo
Taco Bell,Florida,2,Muy bueno
Sculley's Waterfront Restaurant,Florida,4,Muy bueno
El Purepecha,Pensilvania,4,Muy bueno
Tito's Mexican Restaurant - Berry Farms,Tennessee,4,Muy bueno
Jake's Coastal Cantina,Florida,5,Muy bueno
El Mariachi San Lucas,Nueva Jersey,5,Muy bueno
Que Pasa Mexican Cantina,Florida,5,Muy bueno
Ole' Mexican Grill,Arizona,1,Muy bueno
Moe's Southwest Grill,Florida,1,Malo
La Hacienda Taqueria,Tennessee,3,Muy bueno
Rollies Mexican Patio,Arizona,5,Muy bueno
Rosa's Mexican Food Restaurant,Arizona,5,Muy bueno
Rollies Mexican Patio,Arizona,5,Muy bueno
Burrito Boarder,Florida,4,Muy bueno
Salty Cowboy,Indiana,5,Muy bueno
Red Mesa Mercado,Florida,4,Muy bueno
Burrito Bandito,Nevada,5,Muy bueno
Tacos And Beer,Luisiana,5,Muy bueno
Burrito Bandito,Nevada,5,Muy bueno
Frenchy's Saltwater Cafe,Florida,5,Muy bueno
Taqueria Corona,Luisiana,5,Muy bueno
Rosa's Mexican Food Restaurant,Arizona,1,Malo
Green Lemon,Florida,5,Muy bueno
Los Agaves Grill,Indiana,4,Muy bueno
Nueva Cantina,Florida,1,Malo
Casa Molina,Arizona,1,Malo
Border Cafe,Delaware,2,Malo
El Huarache Veloz,Florida,4,Muy bueno
El Vez,Pensilvania,5,Muy bueno
México Lindo,Pensilvania,5,Muy bueno
El Tule Authentic Mexican and Peruvian Restaurant,Nueva Jersey,5,Muy bueno
El Vez,Pensilvania,4,Muy bueno
417 Union,Tennessee,5,Muy bueno
Jimboys Tacos,Nevada,5,Muy bueno
Don Taco Mexican Restaurant,Florida,5,Muy bueno
Don Taco Mexican Restaurant,Florida,5,Muy bueno
Don Cuervo,Indiana,5,Muy bueno
Los Agaves,California,5,Muy bueno
El Vez,Pensilvania,5,Muy bueno
Taco Bell,Tennessee,1,Malo
El Manantial Tacos Y Hotdogs,Arizona,5,Muy bueno
Zeppelin,Nevada,3,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,5,Muy bueno
Madre - Boutique Taqueria,Idaho,5,Muy bueno
Nueva Cantina,Florida,2,Muy bueno
Murrietas,Nevada,4,Muy bueno
Central Taco & Tequila,Nueva Jersey,4,Muy bueno
Casa Garcia Mexican Restaurant,Luisiana,4,Muy bueno
Taco Buddha,Missouri,4,Muy bueno
El Molinito,Arizona,2,Muy bueno
El Purepecha,Pensilvania,5,Muy bueno
Amigos Tortilla Bar,Florida,3,Malo
Don Panchito Mexican Grill,Pensilvania,5,Muy bueno
Taco Express,Indiana,5,Muy bueno
Los Portales,Indiana,5,Muy bueno
Mariscos El Gato,Missouri,4,Muy bueno
Pearly's Beach Eats,Florida,5,Muy bueno
Tortas Guicho Dominguez y El Cubanito,Indiana,5,Muy bueno
Dosbros Fresh Mexican Grill,Tennessee,3,Malo
Aldertos Fresh Mexican Food,Nevada,5,Muy bueno
Mangos Mexican Restaurant,Tennessee,4,Muy bueno
Super Taqueria,Nevada,4,Muy bueno
Red Habanero,Indiana,3,Muy bueno
Blanco Tacos + Tequila,Arizona,5,Muy bueno
Chipotle Mexican Grill,Tennessee,1,Malo
Lilly's Tacos,California,2,Muy bueno
Nada,Indiana,4,Muy bueno
Red Mesa Cantina,Florida,4,Muy bueno
El Pavo Real,Luisiana,3,Muy bueno
Plaza Vazquez,Pensilvania,5,Muy bueno
Miguel's Mexican Food,Nevada,5,Muy bueno
The Honu,Florida,4,Muy bueno
Agave Restaurant,Florida,5,Muy bueno
Mari Chuy's - Midtown,Nevada,5,Muy bueno
Taco Time,Idaho,1,Malo
El Diablo Burritos,Delaware,5,Muy bueno
Tacos El Rey,Nevada,5,Muy bueno
Soho Sushi Burrito,Nevada,5,Muy bueno
Nemi Restaurant,Pensilvania,5,Muy bueno
Oishii Poké,Pensilvania,4,Muy bueno
Burrito Bandito,Nevada,5,Muy bueno
El Limon - Ambler,Pensilvania,5,Muy bueno
Sun King Brewery,Indiana,5,Muy bueno
Beach Brewz,Florida,5,Muy bueno
Taco Bell,Idaho,1,Malo
Taco & Burrito Place,Indiana,5,Muy bueno
Xtreme Tacos Food Truck,Florida,5,Muy bueno
Central Taco & Tequila,Nueva Jersey,4,Muy bueno
Johnny Sanchez,Luisiana,5,Muy bueno
Honest Tom's Plant Based Taco Shop,Pensilvania,5,Muy bueno
Miguel's Mexican Food,Nevada,4,Muy bueno
Taquitos Mexican,Florida,5,Muy bueno
Salsa Verde Restaurant,Arizona,5,Muy bueno
"Guadalajara Grill - Mexican, Best Mexican Restaurant in Tucson",Arizona,4,Muy bueno
Carlillos Cocina,Nevada,5,Muy bueno
Blue Corn,Pensilvania,5,Muy bueno
Chili's,Pensilvania,1,Malo
Tijuana Flats,Florida,5,Muy bueno
Capital Tacos,Florida,2,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Pancho & Lefty's Cantina - Downtown,Tennessee,2,Regular
Central Taco & Tequila,Nueva Jersey,4,Muy bueno
Jimmy Hula's,Florida,4,Muy bueno
Don Panchito Mexican Grill,Pensilvania,5,Muy bueno
Saint Anejo,Tennessee,5,Muy bueno
Super Taqueria,Nevada,5,Muy bueno
Salsa Verde Restaurant,Arizona,5,Muy bueno
Carlitos Cafe Y Cantina,California,2,Muy bueno
Aqui Con El Nene,Arizona,5,Muy bueno
Gentle Ben’s Brewery,Arizona,3,Muy bueno
Mekenita Cantina,Florida,3,Muy bueno
El Bocado,Pensilvania,5,Muy bueno
Taco Bell,Missouri,1,Muy bueno
Redwood Rotisserie + Grill,Nevada,4,Muy bueno
Pearly's Beach Eats,Florida,5,Muy bueno
Fiesta Latina,Luisiana,3,Muy bueno
Nada,Indiana,5,Muy bueno
Chilango's Seafood Restaurant,Luisiana,4,Muy bueno
Jack in the Box,Missouri,1,Malo
Tempo Nashville,Tennessee,5,Muy bueno
QDOBA Mexican Eats,Indiana,4,Muy bueno
Los Arroyos Mexican Restaurant & Take Out,California,4,Muy bueno
Mariscos Mi Mazatlan,Arizona,5,Muy bueno
Taziki's Mediterranean Cafe - Hermitage,Tennessee,1,Malo
La-China Poblana,Nueva Jersey,5,Muy bueno
Condado Tacos,Indiana,2,Muy bueno
Jalapeno Mexican Cuisine,Luisiana,1,Malo
Bull Market Tampa,Florida,4,Muy bueno
Border Cafe,Delaware,4,Muy bueno
La Barca Mexican Store,Nevada,4,Muy bueno
Canal Street Bistro,Luisiana,1,Muy bueno
Aldertos Fresh Mexican Food,Nevada,1,Malo
Los Betos,Idaho,4,Muy bueno
Seis Kitchen,Arizona,5,Muy bueno
Domingo's Cafe,California,4,Muy bueno
Mekenita Cantina,Florida,3,Muy bueno
Chili's,Pensilvania,2,Muy bueno
Texas Roadhouse,Arizona,1,Malo
El Limon - Malvern,Pensilvania,5,Muy bueno
Padaro Beach Grill,California,5,Muy bueno
Tortas El Guero,Indiana,5,Muy bueno
Garibaldi Mexican Restaurant,Florida,4,Muy bueno
Casa Fiesta,Tennessee,3,Muy bueno
Anita Street Market,Arizona,5,Muy bueno
Alberto’s,Tennessee,5,Muy bueno
Punch Bowl Social Indianapolis,Indiana,5,Muy bueno
Los Jefes Tortilleria & Grill,Luisiana,5,Muy bueno
Jack in the Box,Arizona,2,Muy bueno
The Rum House,Luisiana,5,Muy bueno
Farmicia,Pensilvania,5,Muy bueno
Bouchon,California,5,Muy bueno
La Calaca Feliz,Pensilvania,5,Muy bueno
Jalapeños Grill &' Bar,Nueva Jersey,4,Muy bueno
La Hacienda Mexican Restaurant,Indiana,5,Muy bueno
51st Deli,Tennessee,5,Muy bueno
El Tapatio Mexican Restaurant,Delaware,2,Malo
Nada,Indiana,3,Muy bueno
Chef D's Breakfast,Indiana,5,Muy bueno
Chili's,Florida,3,Malo
Freebirds World Burrito,Tennessee,1,Malo
Xochitl,Pensilvania,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,1,Malo
Chipotle Mexican Grill,Arizona,1,Malo
Frenchy's Saltwater Cafe,Florida,4,Muy bueno
Bakersfield,Indiana,3,Muy bueno
Empanada Mama,Pensilvania,4,Muy bueno
Antojitos Puebla,Indiana,5,Muy bueno
Don Cuervo,Indiana,5,Muy bueno
Taqueria Don Luis,Indiana,2,Muy bueno
Chili's,Indiana,4,Muy bueno
TacoSon,Florida,4,Muy bueno
Los Agaves,California,1,Muy bueno
Revolucion,Indiana,4,Muy bueno
Roost,California,4,Muy bueno
Tortas El Guero,Indiana,1,Malo
Mari Chuy's - Midtown,Nevada,2,Muy bueno
Don Gusto P.J,Indiana,3,Muy bueno
Nada,Tennessee,3,Muy bueno
Casa Molina,Arizona,1,Malo
Vicentas Mexican Cuisine,California,5,Muy bueno
Felipe's Mexican Taqueria - French Quarter,Luisiana,4,Muy bueno
Felipe's Mexican Taqueria - French Quarter,Luisiana,3,Muy bueno
Rio Grande MX Cocina,Illinois,3,Malo
Padaro Beach Grill,California,5,Muy bueno
El Molcajete Mexican Restaurant,Tennessee,1,Malo
Green Lemon,Florida,4,Muy bueno
Sabor Latin Cuisine,Nevada,3,Muy bueno
Chili's,Tennessee,2,Muy bueno
El Guero Canelo,Arizona,5,Muy bueno
Cafe Negril,Luisiana,4,Muy bueno
Capital Tacos,Florida,2,Muy bueno
Bartaco,Florida,5,Muy bueno
El Guero Canelo,Arizona,5,Muy bueno
Cantina Dos Segundos,Pensilvania,5,Muy bueno
El Jefe's Cantina,Nevada,1,Muy bueno
Street- Taco and Beer Co.,Arizona,4,Muy bueno
Freebirds,California,2,Muy bueno
El Jefe's Cantina,Nevada,1,Regular
Nada,Indiana,4,Muy bueno
Los Mariachis Mexican Restaurant,Florida,1,Malo
Chili's,Idaho,4,Malo
Nada,Tennessee,3,Muy bueno
Neveria La Vallesana,Missouri,5,Muy bueno
El Sitio,California,4,Muy bueno
El Jefe's Cantina,Nevada,2,Malo
Lolis Mexican Cravings,Florida,5,Muy bueno
Chipotle Mexican Grill,Florida,3,Muy bueno
Pupuseria Casa Maria,Indiana,4,Muy bueno
Goyita's,Arizona,1,Malo
Nuevo Vallarta Authentic Mexican Food,Florida,5,Muy bueno
D'Mexican,Florida,5,Muy bueno
Pepe's Mexican Restaurant,California,5,Muy bueno
Tacos A La Diabla,Indiana,3,Muy bueno
GUAC Tequila & Tacos,Florida,5,Muy bueno
Cantina Los Tres Hombres,Nevada,4,Muy bueno
Del Pez Mexican Gastropub,Delaware,5,Muy bueno
Wrap Shack,Pensilvania,2,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
El Rey de Oros,Pensilvania,5,Muy bueno
Mi Hacienda Mexican Restaurant,Indiana,5,Muy bueno
Don Cuervo,Indiana,5,Muy bueno
Loren & Mari Mexican Grill,Indiana,1,Muy bueno
Americano Mexicano,Arizona,1,Malo
Calle Tepa,Arizona,2,Malo
Local Taco,Tennessee,1,Malo
417 Union,Tennessee,5,Muy bueno
Sabrina's West Street Kitchen,Nevada,5,Muy bueno
El Sinaloense Hot Dog Cart,Arizona,5,Muy bueno
Aqui Con El Nene,Arizona,5,Muy bueno
La Hacienda Restaurant,Arizona,1,Malo
Lucha II Authentic Mexican Food,Missouri,5,Muy bueno
La Hacienda Mexican Restaurant,Pensilvania,4,Muy bueno
Hana Kitchen,California,1,Malo
The Lake Bar & Grill,Nevada,5,Muy bueno
QDOBA Mexican Eats,Pensilvania,4,Muy bueno
Baja Burrito,Tennessee,5,Muy bueno
The Honu,Florida,4,Muy bueno
El Guero Canelo,Arizona,4,Muy bueno
Jimboys Tacos,Nevada,1,Malo
Hopsmith Tavern,Tennessee,4,Muy bueno
Super Burrito,Nevada,5,Muy bueno
Los Compadres Mexican Restaurant,Nevada,4,Muy bueno
Mission Taco Joint - Delmar Loop,Missouri,4,Muy bueno
Local Taco,Tennessee,2,Malo
Zeppelin,Nevada,5,Muy bueno
Macho Tequila's,Nevada,5,Muy bueno
El Jalapeno Mexican Restaurant,Indiana,4,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Salty's Island Bar & Grille,Florida,4,Muy bueno
Taco Buddha,Missouri,5,Muy bueno
Lolis Mexican Cravings,Florida,4,Muy bueno
Lolis Mexican Cravings,Florida,5,Muy bueno
Loco Pez,Pensilvania,4,Muy bueno
Zeppelin,Nevada,5,Muy bueno
Tacodelphia,Pensilvania,3,Muy bueno
El Gato Negro,Luisiana,5,Muy bueno
La Olla Mexican Cafe,Arizona,2,Malo
Zeppelin,Nevada,5,Muy bueno
Gallito @ Sparkman Wharf,Florida,2,Muy bueno
California Tortilla,Pensilvania,5,Muy bueno
Taco Bell,Tennessee,3,Malo
Tumerico,Arizona,4,Muy bueno
Frenchy's Saltwater Cafe,Florida,4,Muy bueno
Tijuana Flats,Florida,5,Muy bueno
Bertha Miranda's Mexican Food Restaurant and Cantina,Nevada,5,Muy bueno
Burrito Joint,Indiana,5,Muy bueno
Las Margaritas,Pensilvania,2,Muy bueno
Corazon Cocina,California,5,Muy bueno
La Hacienda Taqueria,Tennessee,3,Muy bueno
Calle Tepa,Arizona,1,Muy bueno
Pueblo Real Mexican Restaurant - Franklin,Tennessee,4,Muy bueno
Taqueria Del Norte,Pensilvania,1,Muy bueno
El Rodeo,Indiana,5,Muy bueno
Chihuahua's Cantina & Grill,Nevada,5,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Juan's Flying Burrito,Luisiana,5,Muy bueno
Guadalajara Original Grill,Arizona,1,Malo
Chuy's,Tennessee,2,Malo
Taco Mamacita,Tennessee,3,Muy bueno
Lunch Box,Nevada,5,Muy bueno
Taqueria El Pueblito,Arizona,2,Muy bueno
Taqueria El Pueblito,Arizona,5,Muy bueno
Southwest Diner,Missouri,5,Muy bueno
Taco Fish,Arizona,5,Muy bueno
Micha's,Arizona,5,Muy bueno
Los Agaves,California,5,Muy bueno
Heffe,Pensilvania,1,Malo
Frenchy's Saltwater Cafe,Florida,3,Malo
Viva Modern Mexican,California,5,Muy bueno
Capital Tacos,Florida,4,Muy bueno
Rubio's Coastal Grill,Florida,2,Muy bueno
Cactus Restaurant & Bar,Pensilvania,4,Muy bueno
Chili's,Missouri,4,Muy bueno
Salty's Island Bar & Grille,Florida,4,Muy bueno
Club Taco,Missouri,3,Muy bueno
Chihuahua's Cantina & Grill,Nevada,4,Muy bueno
Lolis Mexican Cravings,Florida,5,Muy bueno
Miguel's Mexican Food,Nevada,4,Muy bueno
El Tio Mexican Restaurant,Pensilvania,5,Muy bueno
Murrieta's,Nevada,5,Muy bueno
Plazita Mexico Cafe,Arizona,5,Muy bueno
Fiesta Chicken,Idaho,5,Muy bueno
Lolis Mexican Cravings,Florida,3,Muy bueno
Street- Taco and Beer Co.,Arizona,5,Muy bueno
Condado Tacos,Indiana,5,Muy bueno
Beto's Mexican Food,Nevada,5,Muy bueno
Pearly's Beach Eats,Florida,4,Muy bueno
The Hall on Franklin,Florida,5,Muy bueno
Taqueria Cuernavaca,California,5,Muy bueno
Taqueria Cuernavaca,California,3,Muy bueno
Taco Bell,Indiana,1,Malo
Vallarta Mexican Restaurant,Florida,1,Muy bueno
Taqueria El Maguey,Pensilvania,5,Muy bueno
Red Mesa Mercado,Florida,5,Muy bueno
Tiki Tolteca,Luisiana,5,Muy bueno
The Rum House,Luisiana,5,Muy bueno
Seis Kitchen,Arizona,2,Muy bueno
